Lot,Gender,Bends
F4,Female,54
F4,Female,39
F4,Female,48
F4,Female,41
F4,Female,54
F4,Female,53
F4,Female,51
F4,Female,40
F4,Female,47
F4,Female,48
F4,Female,52
F4,Female,54
F2,Female,48
F2,Female,39
F2,Female,51
F2,Female,40
F2,Female,54
F2,Female,43
F2,Female,52
F2,Female,40
F2,Female,50
F2,Female,52
F2,Female,46
F2,Female,49
F4,Standard,24
F4,Standard,36
F4,Standard,21
F4,Standard,20
F4,Standard,24
F4,Standard,20
F4,Standard,30
F4,Standard,38
F4,Standard,30
F4,Standard,48
F4,Standard,49
F4,Standard,38
F2,Standard,36
F2,Standard,33
F2,Standard,30
F2,Standard,24
F2,Standard,38
F2,Standard,48
F2,Standard,29
F2,Standard,35
F2,Standard,26
F2,Standard,37
F2,Standard,34
F2,Standard,43